,q_a,label
0,Fuck Justin bieber. He's a fucking fag,1
1,its also funny how u stalked my whole twitter! Nice goin! BITCH!,1
2,Hello bitch! How's ur day going? Good I hope :) it's beautiful and sunny!,1
3,Hey. Why you such a bitch?,1
4,how old are u ? And how do you know michael?,1
5,love youu sexy thang(,1
6,What was your favorite toy to play with as a child?,1
7,who decided to take a shit on your face?,1
8,Why do u follow the bandwagon? Formspring. Twitter. What's next gay Justin beiber.,1
9,lmao.. yurr reall funny skinny ass bitchh.. hm.. that isn't really much of an insult now is it? what if i was fat? lol u suck at talkn shit :] later white trash skank :] ur super ugly nd that guy u like really isnt gonna come back around for u. laterrrr,1
10,lol how cute u have friends that back u up :] doesnt matter. ur still a fake bitch :] go find a real bf. not someone out of ur league. lol ugly ass,1
11,shit talkin bitch,1
12,still a bitch :],1
13,Suck it,1
14,whyy aree youu suchh aa faggottt(:,1
15,your ugly.,1
16,I have one for your information WTF. That's MY LIFE  NOT YOURS. You best think twice before you try to steal my stuff  bitch.,1
17,Show your face Anonymous WTF?! You make no sense you fake ugly bitch,1
18,(: Stop hating on my page  kthx.,1
19,..are you? all you can say lmfaoo. well  your fake everyone knows it  no need to go on about it(: sayoonarra<3,1
20,:] im sorry  im not the one being a fake of some lady lol comeon now >.> be your damn self (: and im not fucking mental  i know what js means. i think you need to stfu and get a damn life instead of beng on here and faking some girl ; btw NICE COMEBACK!,1
21,:] you are fake though :D ? that makes no sense lolol why would you keep faking all these formsprings  your stuuupid :p we all know the real ashlee girls formspring already  soo fuck off may you?,1
22,:3 wow ashleeee your fakes amuse me lmao  okay  you are retarded to keep this page upp :],1
23,`` im very sexy `` My fucking ass. duuude that made me laugh so fucking hardd(: thank's for making my day ;D,1
24,13?r you're at the perfect age to learn how to suck dick and give hand jobs.,1
25,ahaha my mom is dead :) but thanks ugly ass bitch that NO BODY knows and has no life and has to talk shit on formspring to pretty girls that she is jelouse of :) alright bitch.,1
26,and you called me fat why?,1
27,are you fake?,1
28,are you mental? she made a proof video! you cant lie,1
29,baha  actually  im going to go on now :) BITCH ARE YOU FUCKING STUPID? >.> the REAL ashlee has a proof video  your dumb  your probably just some old man behind a computer screen<3 go fuck yourself<3,1
30,BETTY IS LIKE ADORABLE. YOU LOOK LIKE A CRACK HEADS SHIT IN A TOILET MY DEAR,1
31,BITCH STFU AT LEAST I RECOGNIZE MYSELF NOT LYK U,1
32,but your fake!!,1
33,do i even know you ? and why the fuck are you leaving shit on my wall. seriously?get a life.,1
34,Does it make you mad you have tonsssss of hate groups on myspace?,1
35,'Don't call her a bad vv',0
36,DUDE  ARE YOU SERIOUS YOUR SO STUPIDDDD >.> STFU!:) and btw  if your tired of people talking shit on your form spring  delete this accountt >.> and be yourself  are you that bad?,1
37,dude it seems like everyone hates you. you should just delete all your socialing sites. (:,1
38,Everyone Look  This Girl Was Using Missy Lockes Pictures And I Told Her She Was Fake  Then She Was Like Im Not Fake  Then She Took Bettys Pictures. SHES DUMB! http://www.formspring.me/LMT23,1
39,ew you're gross. ugly. BITCH,1
40,Faaaaake. :D,1
41,fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake,1
42,fake!,1
43,Fake.,1
44,get a life you twisted bitch!,1
45,GO TO HELL xD,1
46,Grosss! Your face is nasty,1
47,Grosss! Your face is nasty,1
48,guess what you should do? GET A LIFE. I don't even know you so why would you even start shit with me?! Seriously  you must be a bit messed up in the head. Pathetic.,1
49,haha lifeless cunt stop writing on my wall you shit faced slut,1
50,heey. how many other formsprings do u have? like 50? damn. get a life.,1
51,hey everyone  this is the girl that fakes ta,1
52,hey why dont you go kill yourself alot of ppl would be really happy :),1
53,heyyy  your an ugly fucking bitch  you think your sexy? haha  you ain't shit besides an ugly bitch.  beware of what? ill fucking put your shit on blast. fucking stupid ass cunt. fuck off   stop hatein on peoples pages before i go off on your ugly ass.,1
54,hi asslee asshole :D,1
55,Hi you smelly rotten poo. You smell like pigs vomit! Did you just go to the toilet? I wondered what that smell was  you missed the toilet and it fell on your ugly clothes  are you poor? You stink like hamster poo. I'd love to ram a metal pole up your ass.,1
56,i dont know you  but you seem like a bitch,1
57,i hope your asswhole gets sniffed by aids,1
58,i like how everyone writes you just to insult you. seriously  all your questions are dissing you! HAHAH.,1
59,i never said that i'm 16 or that i'm sexy. dumbasssssss,1
60,i swear to fucking god bitch. i hate you so much. you think you can add people and just talk shit on there pages? haha  naaa. yuuu must got us fucked up. im going to hunt your ass down and beat the shit out of youu with my own to hands. kbitchhhh?,1
61,I'm not a creepy stalker. Just everyone fucking hates you so everyone knows what you fucking do. You remind me of Harmony Flashpink but uglier and alittle more pathetic. Everyone knows you fake yourself and other girls  and you want attention. Dumbfuck.,1
